id,uuid,name,description,state,system_tags,user_tags,last_reading_at,added_at,updated_at,mac_address,owner,data,kit
2337,0581125e-8529-4ec4-b8d3-56ecb24003d1,,,not_configured,System.Object[],System.Object[],,6/16/2015,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3110,d730f489-6087-4c4b-ab85-61d591645e6b,Adam,The first on of security41,has_published,System.Object[],System.Object[],5/5/2016,2/13/2016,2/15/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4177,74a015a6-45cf-4829-9a1e-82f99f7b2122,Smart Test,This is the smart test.,has_published,System.Object[],System.Object[],4/19/2017,2/12/2017,2/12/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
2488,db6cff8c-3a6a-4ce1-be44-54cf5c7bd53a,defrgfrgrfr,,not_configured,System.Object[],System.Object[],,9/10/2015,9/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
4004,b6578b2c-a756-4d66-86b5-f0e955d558c9,Sentilo Noise T240713,BCN CESVA TA120 farola amb AP26 polling data from Sentilo http://connecta.bcn.cat/connecta-catalog-web/component/CESVA.TA120-T240713/detail,has_published,System.Object[],System.Object[],4/6/2018,12/7/2016,12/7/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4262,159e5266-47e4-4ea4-a4d2-ee327cb5f729,Martips11,Making Sense Pilot #1,has_published,System.Object[],System.Object[],3/21/2018,4/4/2017,4/21/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3993,702e8cfa-b0e6-4d8e-962c-0bdc9f9b82b0,Sentilo Noise T242545,BCN CESVA TA120 farola amb AP26 polling data from Sentilo http://connecta.bcn.cat/connecta-catalog-web/component/CESVA.TA120-T242545/detail,has_published,System.Object[],System.Object[],4/6/2018,12/7/2016,12/7/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
2144,49b84fa4-1d0b-4d39-ad61-d942cc55e1aa,,School of Data - Austria's SCK running on Karlsplatz,never_published,System.Object[],System.Object[],,4/3/2015,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1287,2aed3e54-e7ca-4830-b397-0a3c65a8325f,MountainGoat,,has_published,System.Object[],System.Object[],8/11/2014,6/4/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1212,ece2d82e-3c59-4f1e-8f91-80151e04e650,arup fitzroy W1T,,has_published,System.Object[],System.Object[],9/10/2014,5/14/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
359,82c4718f-0160-493d-bb65-3ba60330aa19,#3 General Session,IOTWF 3 - ID: af:11,has_published,System.Object[],System.Object[],10/29/2013,10/25/2013,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1728,1aef4ea9-684d-4c49-ace8-0ef6faab3dd8,Kit Urbano_Puerto de Olivos,Monitor Nro. 1 - Kit Urbano,has_published,System.Object[],System.Object[],3/3/2015,10/27/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3156,f328224d-572c-44a2-afd6-2b4528762550,Mobile lab Namibia,NBIC Mobile lab,not_configured,System.Object[],System.Object[],,2/27/2016,2/27/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
3975,08fb5ce8-d13c-4f85-ba58-eab4c091ef16,Sentilo Noise T241200,BCN CESVA TA120 farola amb AP26 polling data from Sentilo http://connecta.bcn.cat/connecta-catalog-web/component/CESVA.TA120-T241200/detail,has_published,System.Object[],System.Object[],5/12/2017,12/7/2016,12/7/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
147,413061f9-0f7b-42e0-a382-58495d5b3326,inside etolab,"Located in the Etolab Fablab, 30 rue St-Leu, Amiens",has_published,System.Object[],System.Object[],12/9/2013,6/11/2013,6/11/2013,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1213,7cee56cf-b4fa-4085-8f34-4220da16731b,"schaarbeekstraat, amsterdam",Schaarbeek 11,not_configured,System.Object[],System.Object[],,5/14/2014,5/14/2014,[FILTERED],,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3622,990b68a0-f950-4480-9d29-cafc5ca75417,"girasole123 citizen, on my balcony S-SE",,has_published,System.Object[],System.Object[],9/27/2016,7/18/2016,8/14/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3614,587cacf5-cc48-4a18-a35f-9a84a2b3621c,Shamogjin-3,,has_published,System.Object[],System.Object[],2/11/2017,7/13/2016,7/18/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3441,a20e7cef-5e73-4b5b-9b88-660906d726b8,RRC SCK-3 GIS,Smart Way Forward Strategy,has_published,System.Object[],System.Object[],4/6/2018,6/10/2016,2/28/2018,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4104,79c122a1-191e-41a8-bdb8-0a9e399c9b24,RosinF.A,Casa Feliz.... =).....!!,has_published,System.Object[],System.Object[],1/11/2017,12/27/2016,10/10/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4495,c166894a-49ed-49d2-9cfd-2e225f63ec45,The New School,,never_published,System.Object[],System.Object[],,3/13/2018,3/13/2018,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
531,ea9cddf8-f38e-49a0-91e0-fba203a6cb3d,Deezmaker 3D Printer Shop - Sensor 1,Deezmaker 3D Printer Shop & Hacker Space - Supporters of the Smart Citizen.,never_published,System.Object[],System.Object[],,1/4/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1063,3b03b533-8bd8-4453-b541-d777f55152b3,Nicolaas Maesschool Amsterdam,Bassischool Nicolaas Maesschool. Project duurzaamheid,has_published,System.Object[],System.Object[],8/1/2014,4/11/2014,5/16/2014,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3371,4e637023-5f72-4268-9891-27ef62657bab,GeordySD,Exterior Garden,has_published,System.Object[],System.Object[],5/18/2016,5/11/2016,5/18/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3748,8d048cd3-c336-4426-80c1-465fa40a96cf,Bora Lora in Fablab Amsterdam,"This device is to test transmission over Lorawan, the sensor is the same as used for AirQ",has_published,System.Object[],System.Object[],11/15/2016,11/2/2016,12/15/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4450,cf7952c4-d4e3-4193-927d-dc4f20f68795,Grow Soil Probes Test,Grow Atlas Scientific Probes Tests,has_published,System.Object[],System.Object[],2/1/2018,1/29/2018,1/29/2018,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4348,cbdc95a7-14c9-4c87-98af-9029817cf7e5,Sentilo Noise T244561,BCN CESVA TA120 farola amb AP26 polling data from Sentilo http://connecta.bcn.cat/connecta-catalog-web/component/CESVA.TA120-T244561/detail,has_published,System.Object[],System.Object[],4/6/2018,6/21/2017,6/21/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4086,6a61a56b-db6c-4a3e-90d3-037cfb64142a,23_12_2016,Making Sense Pilot #1,has_published,System.Object[],System.Object[],1/24/2017,12/23/2016,12/23/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4069,027b3fa8-6a33-47e9-b59a-1e3f01fe004f,Thomas_Sensor,Making Sense Pilot #1,has_published,System.Object[],System.Object[],12/19/2016,12/19/2016,12/19/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
869,551c4256-76ba-4b9c-b3dc-8d8e34d07c97,Richmond Rover,"Kit to monitor the riverside in Richmond, uk",has_published,System.Object[],System.Object[],3/16/2014,3/15/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1295,d780b14c-7bb6-484a-bf1c-7e0a579f2325,RossellÃ³ 487,,not_configured,System.Object[],System.Object[],,6/9/2014,6/9/2014,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3211,d9e629c7-67dd-4ed6-b1b5-f31761bc1ee0,SmartDataLab @Make 001,,not_configured,System.Object[],System.Object[],,3/19/2016,3/19/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
1753,4eaeba7e-c988-44de-a732-39b04bca34a4,Yongin M,,never_published,System.Object[],System.Object[],,10/31/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
10002527,2af9367c-a860-4ac8-af43-e52a9b7f7b41,Isetup 8,,not_configured,System.Object[],System.Object[],,9/25/2015,10/7/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
2683,fa16a681-6c55-4264-8677-69cf4195e829,,,not_configured,System.Object[],System.Object[],11/7/2015,11/5/2015,11/5/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
2165,e8ac395a-30ef-47ea-ac05-bfbff5fc5970,UCL-Physical Computing Lab,The most awesome kit in London.,not_configured,System.Object[],System.Object[],,4/10/2015,6/1/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1241,d9423f30-b450-457e-b80e-b1cef4c3da3b,Ovah in Dovah,,has_published,System.Object[],System.Object[],6/7/2014,5/23/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4025,8cbbe921-045a-49f5-b386-b18b07d08878,GRACIA'S SENSOR II,Making Sense Pilot #1,has_published,System.Object[],System.Object[],2/17/2018,12/12/2016,12/12/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
546,5100f6d3-a29f-4794-acf2-a641a4ea7366,,,not_configured,System.Object[],System.Object[],,1/15/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3509,262b0ff9-0e81-471f-bba1-24acd38ec1c1,Processing.org Car Counter,Measuring the street activity using Open CV on Processing.org and running on a Raspberry Pi,has_published,System.Object[],System.Object[],6/18/2016,6/18/2016,6/18/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4325,5177fbb6-8a33-49d3-9889-dbf4d4a2d168,FabLab Porto @ OPO'Lab,,not_configured,System.Object[],System.Object[],,5/22/2017,5/22/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
370,b49afe6b-8064-4119-9097-54b5ada8f153,#14 Joel Curado Silveirinha,IOTWF 14 - ID: af:0d,has_published,System.Object[],System.Object[],10/30/2013,10/25/2013,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3654,34b98c98-9516-48de-a0dc-8c3cf7982969,rt,rt,never_published,System.Object[],System.Object[],,7/31/2016,7/31/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
3508,7b02c713-759b-41b5-902a-b6a37183ef61,Sentilo BCN Noise,BCN CESVA TA120 farola amb AP26 polling data from Sentilo http://goo.gl/oFnqNH,has_published,System.Object[],System.Object[],6/20/2016,6/17/2016,6/17/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
2610,c789e251-03a9-4291-9e4e-07c460e8aaf1,Yves' IOT Development,Yves' IOT Development,has_published,System.Object[],System.Object[],11/22/2015,10/16/2015,11/26/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
724,54161263-1439-400d-87c9-3783c28b8655,Fortress IKEA,,has_published,System.Object[],System.Object[],4/4/2014,2/19/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
276,b4715037-ac43-4fc6-ade1-47cf8919a9c9,Sant Andreu,,not_configured,System.Object[],System.Object[],,9/5/2013,9/5/2013,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4131,7dd244ab-a3d9-454e-8e0e-ca113062989b,SCK-ELDER1,Setting up finally. May use in IoT demos,has_published,System.Object[],System.Object[],6/7/2017,1/8/2017,1/8/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
183,845f0dda-9426-4f33-a066-8187eb9d9d87,ola k ase,,not_configured,System.Object[],System.Object[],,7/9/2013,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
2249,14c9b859-8f5d-44b3-a24b-bddbd7cd903d,jgmansilla UOC TFG,jgmansilla UOC TFG,never_published,System.Object[],System.Object[],,5/17/2015,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3366,a023e02f-3d55-4ea7-9b08-6984882a1a12,FARMM SCK,Experiment,not_configured,System.Object[],System.Object[],,5/8/2016,1/26/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
1646,922bdc40-8710-4860-a1ed-1b962af9ad02,,Loan from Dr Fayed,not_configured,System.Object[],System.Object[],,9/29/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3740,aece290e-fa66-4550-9e74-e56ac2ea78f7,Moonracoon,It will help save bees.,has_published,System.Object[],System.Object[],11/2/2016,10/31/2016,3/13/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3823,03ffcbf3-19c0-462d-aad1-d2eede0cf419,flower-z,Making Sense Pilot #1,has_published,System.Object[],System.Object[],11/23/2016,11/23/2016,11/23/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
495,ae9aa508-c457-4ac6-b5f9-f9c468fce796,"Downtown San Jose, California, USA",,has_published,System.Object[],System.Object[],1/14/2014,12/27/2013,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
736,4b145cac-d7c0-4c63-b5fa-551b91bc5e7e,CotSen,,has_published,System.Object[],System.Object[],2/27/2014,2/20/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1499,c6a55475-66d0-462a-9b8c-6d1b3f8af9a5,SCK_CWIFI,,has_published,System.Object[],System.Object[],10/29/2014,8/5/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3430,22068c6d-0c8a-48c5-8505-91702d39c215,CRT Labs 2,Labs2,never_published,System.Object[],System.Object[],,6/3/2016,6/6/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
4484,d163b791-1f22-463f-88b7-2c18d5c92191,xxxxxx,xxxx,not_configured,System.Object[],System.Object[],,2/22/2018,2/22/2018,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
2240,a0cb1f11-0f2f-406d-8aca-462f51d2c3a3,NAR-CRT-CHI-001-EAST,We are testing IoT devices for real estate. CRT is a multi-disciplinary technology research group at the National Association of REALTORSÂ®,has_published,System.Object[],System.Object[],9/2/2015,5/11/2015,6/3/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
2459,92e8362d-7d41-48b8-afe3-0fc9a5cb43e9,SPOTCAMP_SD,Test kit with SD,has_published,System.Object[],System.Object[],7/25/2015,7/24/2015,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3746,fe8a112e-7cd9-402a-aa31-5075eb1eb7a2,test_111,i,has_published,System.Object[],System.Object[],11/29/2016,11/2/2016,11/2/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
2057,de4aaf45-e16b-4e7e-b28c-021158cf3ea6,,,not_configured,System.Object[],System.Object[],,2/6/2015,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1515,48ba2b03-b857-49c2-bef1-1e49d14a791c,Infrascape LA #1,On the bucolic campus of Cal Poly Pomona,never_published,System.Object[],System.Object[],,8/10/2014,1/11/2018,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
2087,31f9f4c2-e27d-49b4-b559-ae864f1919de,,in door test,not_configured,System.Object[],System.Object[],,2/25/2015,10/8/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
2615,dc15ae9a-3a4a-462e-ad41-90dbd3330c67,SandS,,has_published,System.Object[],System.Object[],4/6/2018,10/18/2015,11/26/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
1030,087df675-ca00-486b-b49a-8ebb59a604f8,hyperion,nieuw sensor,not_configured,System.Object[],System.Object[],,4/7/2014,4/7/2014,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
3864,62276731-4310-4523-8947-c5fb7f4b8353,Lalleva,capacitaciÃ³n CEM,not_configured,System.Object[],System.Object[],,11/24/2016,11/24/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
2230,d4a9d1d9-1bf4-4d2a-a15f-c960ff89f6fa,University of Antwerp SCK,,has_published,System.Object[],System.Object[],6/22/2015,5/5/2015,11/27/2017,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
4042,45bed505-142f-489e-af5b-094e318791db,Arturito,Making Sense Pilot #1,has_published,System.Object[],System.Object[],9/26/2017,12/14/2016,12/14/2016,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
2591,31532234-9e96-42b1-bce4-e128736aa5e7,KRTL OÃœ,,never_published,System.Object[],System.Object[],10/12/2015,10/12/2015,11/26/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
10002503,a22fadd9-f8f8-46c4-9e24-9095dc44489e,kit-44,sss,not_configured,System.Object[],System.Object[],,9/10/2015,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,
723,b485cf1f-e9c7-4794-9d84-4f8a3a2ec0da,Kit_JV,,never_published,System.Object[],System.Object[],,2/19/2014,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
